season,week,game_id,posteam,defteam,player_id,pass_attempt,complete_pass,passing_yards,pass_touchdown,interception,rush_plays,rushing_yards,rush_touchdown,reception,receiving_yards,receiving_touchdown,fumble_lost,rush_inside_10,rush_inside_20,target_inside_10,target_inside_20,total_touches,fantasy_points,total_plays_off,pass_plays_off,rush_plays_off,pass_pct_off,rush_pct_off,red_zone_pass_pct,deep_pass_pct,avg_air_yards_off,avg_yac_off,total_pass_plays,blitz_rate_def,pressure_rate_def,man_coverage_pct_def,zone_coverage_pct_def,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date,passing_yards_rolling_3,pass_attempt_rolling_3,complete_pass_rolling_3,rush_plays_rolling_3,rushing_yards_rolling_3,receiving_yards_rolling_3,reception_rolling_3,total_touches_rolling_3,rush_inside_10_rolling_3,rush_inside_20_rolling_3,target_inside_10_rolling_3,target_inside_20_rolling_3,total_plays_off_rolling_3,pass_plays_off_rolling_3,rush_plays_off_rolling_3,total_pass_plays_rolling_3,avg_yac_off_rolling_3,avg_air_yards_off_rolling_3,fantasy_points_rolling_3,pass_touchdown_rolling_3,rush_touchdown_rolling_3,receiving_touchdown_rolling_3,blitz_rate_def_rolling_3,pressure_rate_def_rolling_3,man_coverage_pct_def_rolling_3,zone_coverage_pct_def_rolling_3,pass_pct_off_rolling_3,rush_pct_off_rolling_3,name
2025,1,2025_01_PIT_NYJ,PIT,NYJ,00-0023459,34.0,22.0,244.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,3,34.0,25.76,54,34,20,0.6296296296296297,0.3703703703703703,0.4285714285714285,,4.633333333333334,7.863636363636363,34,0.1764705882352941,0.2058823529411764,0.1176470588235294,0.8823529411764706,2025-09-07,Sunday,13:00,NYJ,PIT,32.0,34.0,7,7,-3.0,37.5,-112.0,-108.0,130.0,-155.0,outdoors,fieldturf,67.0,3.0,NYC01,2025-09-07,244.0,34.0,22.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,2.0,3.0,54.0,34.0,20.0,34.0,7.863636363636363,4.633333333333334,25.76,4.0,0.0,0.0,0.1764705882352941,0.2058823529411764,0.1176470588235294,0.8823529411764706,0.6296296296296297,0.3703703703703703,Aaron Rodgers
2025,2,2025_02_SEA_PIT,PIT,SEA,00-0023459,37.0,18.0,203.0,1.0,2.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,4,4,38.0,8.420000000000002,60,39,21,0.65,0.35,0.5,,5.314285714285714,7.35,39,0.0512820512820512,0.1794871794871795,0.1282051282051282,0.8717948717948718,2025-09-14,Sunday,13:00,PIT,SEA,17.0,31.0,7,7,3.5,40.5,-112.0,-108.0,-192.0,160.0,outdoors,grass,79.0,5.0,PIT00,2025-09-14,223.5,35.5,20.0,0.5,1.5,0.0,0.0,36.0,0.0,0.0,3.0,3.5,57.0,36.5,20.5,36.5,7.6068181818181815,4.973809523809524,17.090000000000003,2.5,0.0,0.0,0.11387631975867266,0.19268476621417796,0.12292609351432879,0.8770739064856712,0.6398148148148148,0.36018518518518516,Aaron Rodgers
2025,3,2025_03_PIT_NE,PIT,NE,00-0023459,23.0,16.0,139.0,2.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,24.0,11.86,49,23,26,0.4693877551020408,0.5306122448979592,0.25,0.0869565217391304,4.956521739130435,6.6875,23,0.0,0.1304347826086956,0.0434782608695652,0.9565217391304348,2025-09-21,Sunday,13:00,NE,PIT,14.0,21.0,7,7,-1.5,44.5,-108.0,-112.0,100.0,-120.0,outdoors,fieldturf,66.0,5.0,BOS00,2025-09-21,195.33333333333334,31.333333333333332,18.666666666666668,0.6666666666666666,2.0,0.0,0.0,32.0,0.0,0.0,2.0,3.0,54.333333333333336,32.0,22.333333333333332,32.0,7.300378787878787,4.968046928916494,15.34666666666667,2.3333333333333335,0.0,0.0,0.07591754650578177,0.17193477167901716,0.09644348263274093,0.903556517367259,0.5830057949105568,0.4169942050894431,Aaron Rodgers
2025,4,2025_04_MIN_PIT,PIT,MIN,00-0023459,24.0,18.0,200.0,1.0,0.0,1,10.0,0.0,0.0,0.0,0.0,0.0,0,0,2,8,25.0,13.0,53,24,29,0.4528301886792453,0.5471698113207547,0.5,,3.3181818181818183,8.11111111111111,24,0.0833333333333333,0.125,0.0,1.0,2025-09-28,Sunday,09:30,PIT,MIN,24.0,21.0,7,7,-2.5,41.5,-105.0,-115.0,124.0,-148.0,outdoors,grass,61.0,5.0,PIT00,2025-09-28,180.66666666666666,28.0,17.333333333333332,1.0,5.333333333333333,0.0,0.0,29.0,0.0,0.0,2.0,4.666666666666667,54.0,28.666666666666668,25.333333333333332,28.666666666666668,7.3828703703703695,4.529663090532655,11.093333333333334,1.3333333333333333,0.0,0.0,0.04487179487179483,0.14497398736529168,0.05722779635823113,0.942772203641769,0.5240726479270953,0.4759273520729046,Aaron Rodgers
2025,6,2025_06_CLE_PIT,PIT,CLE,00-0023459,30.0,21.0,235.0,2.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,31.0,17.5,58,30,28,0.5172413793103449,0.4827586206896552,0.5,0.1666666666666666,7.433333333333334,6.285714285714286,30,0.0333333333333333,0.1,0.1,0.9,2025-10-12,Sunday,13:00,PIT,CLE,23.0,9.0,14,7,5.5,37.5,-120.0,100.0,-278.0,225.0,outdoors,grass,64.0,8.0,PIT00,2025-10-12,191.33333333333334,25.666666666666668,18.333333333333332,1.0,4.666666666666667,0.0,0.0,26.666666666666668,0.0,0.0,0.6666666666666666,3.6666666666666665,53.333333333333336,25.666666666666668,27.666666666666668,25.666666666666668,7.028108465608465,5.236012296881863,14.12,1.6666666666666667,0.0,0.0,0.03888888888888887,0.11847826086956519,0.04782608695652174,0.9521739130434783,0.479819774363877,0.520180225636123,Aaron Rodgers
2025,1,2025_01_CIN_CLE,CLE,CIN,00-0026158,47.0,31.0,290.0,1.0,2.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0,0,1,6,49.0,12.2,71,47,24,0.6619718309859155,0.3380281690140845,0.5,,6.066666666666666,5.580645161290323,47,0.0638297872340425,0.1063829787234042,0.1276595744680851,0.8723404255319149,2025-09-07,Sunday,13:00,CLE,CIN,16.0,17.0,7,7,-5.5,47.5,-120.0,100.0,195.0,-238.0,outdoors,grass,63.0,10.0,CLE00,2025-09-07,290.0,47.0,31.0,2.0,6.0,0.0,0.0,49.0,0.0,0.0,1.0,6.0,71.0,47.0,24.0,47.0,5.580645161290323,6.066666666666666,12.2,1.0,0.0,0.0,0.0638297872340425,0.1063829787234042,0.1276595744680851,0.8723404255319149,0.6619718309859155,0.3380281690140845,Joseph Flacco
2025,2,2025_02_CLE_BAL,CLE,BAL,00-0026158,47.0,25.0,199.0,1.0,1.0,1,8.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,48.0,8.760000000000002,72,50,22,0.6944444444444444,0.3055555555555556,1.0,,6.5,3.4285714285714284,50,0.1,0.18,0.1,0.9,2025-09-14,Sunday,13:00,BAL,CLE,41.0,17.0,7,7,12.5,46.5,-110.0,-110.0,-900.0,600.0,outdoors,grass,82.0,3.0,BAL00,2025-09-14,244.5,47.0,28.0,1.5,7.0,0.0,0.0,48.5,0.0,0.0,0.5,3.5,71.5,48.5,23.0,48.5,4.5046082949308754,6.283333333333333,10.48,1.0,0.0,0.0,0.08191489361702126,0.1431914893617021,0.11382978723404255,0.8861702127659574,0.67820813771518,0.32179186228482004,Joseph Flacco
2025,3,2025_03_GB_CLE,CLE,GB,00-0026158,37.0,21.0,142.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,4,37.0,3.68,57,38,19,0.6666666666666666,0.3333333333333333,0.5,,7.055555555555555,3.238095238095238,38,0.1052631578947368,0.2631578947368421,0.0789473684210526,0.9210526315789472,2025-09-21,Sunday,13:00,CLE,GB,13.0,10.0,7,10,-8.5,41.5,-105.0,-115.0,360.0,-470.0,outdoors,grass,79.0,10.0,CLE00,2025-09-21,210.33333333333334,43.666666666666664,25.666666666666668,1.0,4.666666666666667,0.0,0.0,44.666666666666664,0.0,0.0,0.6666666666666666,3.6666666666666665,66.66666666666667,45.0,21.666666666666668,45.0,4.082437275985663,6.54074074074074,8.213333333333333,0.6666666666666666,0.0,0.0,0.08969764837625976,0.18318029115341541,0.10220231429637923,0.8977976857036207,0.6743609806990088,0.3256390193009911,Joseph Flacco
2025,4,2025_04_CLE_DET,CLE,DET,00-0026158,37.0,16.0,184.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,4,39.0,1.3600000000000003,65,38,27,0.5846153846153846,0.4153846153846154,0.4,,9.914285714285716,4.9375,38,0.0789473684210526,0.2631578947368421,0.2631578947368421,0.7368421052631579,2025-09-28,Sunday,13:00,DET,CLE,34.0,10.0,6,7,10.0,44.5,-105.0,-115.0,-550.0,410.0,dome,fieldturf,,,DET00,2025-09-28,175.0,40.333333333333336,20.666666666666668,1.0,2.6666666666666665,0.0,0.0,41.333333333333336,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,64.66666666666667,42.0,22.666666666666668,42.0,3.868055555555556,7.823280423280424,4.6000000000000005,0.3333333333333333,0.0,0.0,0.09473684210526313,0.23543859649122809,0.14736842105263157,0.8526315789473684,0.6485754985754986,0.35142450142450143,Joseph Flacco
2025,6,2025_06_CIN_GB,CIN,GB,00-0026158,45.0,29.0,219.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,9,45.0,16.759999999999998,63,47,16,0.746031746031746,0.2539682539682539,0.9,,5.977777777777778,3.206896551724138,47,0.0638297872340425,0.1063829787234042,0.0638297872340425,0.9361702127659576,2025-10-12,Sunday,16:25,GB,CIN,27.0,18.0,14,7,14.0,44.5,-110.0,-110.0,-1000.0,650.0,outdoors,grass,64.0,14.0,GNB00,2025-10-12,181.66666666666666,39.666666666666664,22.0,0.6666666666666666,0.0,0.0,0.0,40.333333333333336,0.6666666666666666,0.6666666666666666,2.0,5.666666666666667,61.666666666666664,41.0,20.666666666666668,41.0,3.794163929939792,7.64920634920635,7.266666666666666,0.6666666666666666,0.0,0.0,0.08268010451661063,0.2108995893990295,0.13531168346397907,0.864688316536021,0.6657712657712658,0.3342287342287342,Joseph Flacco
2025,1,2025_01_HOU_LA,LA,HOU,00-0026498,32.0,21.0,245.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,2,34.0,11.8,57,32,25,0.5614035087719298,0.4385964912280701,0.25,,7.793103448275862,3.238095238095238,32,0.125,0.1875,0.03125,0.96875,2025-09-07,Sunday,16:25,LA,HOU,14.0,9.0,7,7,3.5,43.5,-105.0,-115.0,-166.0,140.0,dome,matrixturf,,,LAX01,2025-09-07,245.0,32.0,21.0,2.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,2.0,57.0,32.0,25.0,32.0,3.238095238095238,7.793103448275862,11.8,1.0,0.0,0.0,0.125,0.1875,0.03125,0.96875,0.5614035087719298,0.4385964912280701,John Stafford
2025,2,2025_02_LA_TEN,LA,TEN,00-0026498,34.0,23.0,298.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,10,34.0,17.92,59,34,25,0.576271186440678,0.423728813559322,0.5555555555555556,,7.9393939393939394,5.739130434782608,34,0.0294117647058823,0.1764705882352941,0.1176470588235294,0.8823529411764706,2025-09-14,Sunday,13:00,TEN,LA,19.0,33.0,7,7,-5.5,41.5,-108.0,-112.0,205.0,-250.0,outdoors,grass,83.0,3.0,NAS00,2025-09-14,271.5,33.0,22.0,1.0,0.0,0.0,0.0,34.0,0.5,0.5,3.5,6.0,58.0,33.0,25.0,33.0,4.488612836438923,7.866248693834901,14.860000000000001,1.5,0.0,0.0,0.07720588235294115,0.18198529411764705,0.07444852941176469,0.9255514705882353,0.5688373476063039,0.43116265239369606,John Stafford
