game_id,season,week,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date
2025_01_DAL_PHI,2025,1,2025-09-04,Thursday,20:20,PHI,DAL,24,20,7,7,8.5,47.5,-110,-110,-425,330,outdoors,grass,75,11,PHI00,2025-09-04
2025_01_KC_LAC,2025,1,2025-09-05,Friday,20:00,LAC,KC,27,21,7,7,-3,47.5,-110,-110,145,-175,dome,,NA,NA,LAX01,2025-09-05
2025_01_TB_ATL,2025,1,2025-09-07,Sunday,13:00,ATL,TB,20,23,7,7,-1.5,47.5,-115,-105,-105,-115,closed,fieldturf,NA,NA,ATL97,2025-09-07
2025_01_CIN_CLE,2025,1,2025-09-07,Sunday,13:00,CLE,CIN,16,17,7,7,-5.5,47.5,-120,100,195,-238,outdoors,grass,63,10,CLE00,2025-09-07
2025_01_MIA_IND,2025,1,2025-09-07,Sunday,13:00,IND,MIA,33,8,7,7,1.5,47.5,100,-120,-112,-108,closed,fieldturf,NA,NA,IND00,2025-09-07
2025_01_CAR_JAX,2025,1,2025-09-07,Sunday,13:00,JAX,CAR,26,10,7,7,4.5,45.5,-112,-108,-205,170,outdoors,grass,85,3,JAX00,2025-09-07
2025_01_LV_NE,2025,1,2025-09-07,Sunday,13:00,NE,LV,13,20,7,7,2.5,44.5,-105,-115,-155,130,outdoors,fieldturf,62,4,BOS00,2025-09-07
2025_01_ARI_NO,2025,1,2025-09-07,Sunday,13:00,NO,ARI,13,20,7,7,-6,44.5,-108,-112,220,-270,dome,sportturf,NA,NA,NOR00,2025-09-07
2025_01_PIT_NYJ,2025,1,2025-09-07,Sunday,13:00,NYJ,PIT,32,34,7,7,-3,37.5,-112,-108,130,-155,outdoors,fieldturf,67,3,NYC01,2025-09-07
2025_01_NYG_WAS,2025,1,2025-09-07,Sunday,13:00,WAS,NYG,21,6,7,7,6,45.5,-110,-110,-298,240,outdoors,grass,68,5,WAS00,2025-09-07
2025_01_TEN_DEN,2025,1,2025-09-07,Sunday,16:05,DEN,TEN,20,12,7,7,8.5,42.5,-112,-108,-455,350,outdoors,grass,84,6,DEN00,2025-09-07
2025_01_SF_SEA,2025,1,2025-09-07,Sunday,16:05,SEA,SF,13,17,7,7,-2.5,43.5,-108,-112,114,-135,outdoors,fieldturf,67,6,SEA00,2025-09-07
2025_01_DET_GB,2025,1,2025-09-07,Sunday,16:25,GB,DET,27,13,7,7,1.5,48.5,-105,-115,-120,100,outdoors,grass,60,5,GNB00,2025-09-07
2025_01_HOU_LA,2025,1,2025-09-07,Sunday,16:25,LA,HOU,14,9,7,7,3.5,43.5,-105,-115,-166,140,dome,matrixturf,NA,NA,LAX01,2025-09-07
2025_01_BAL_BUF,2025,1,2025-09-07,Sunday,20:20,BUF,BAL,41,40,7,7,-1.5,50.5,-115,-105,110,-130,outdoors,a_turf,58,8,BUF00,2025-09-07
2025_01_MIN_CHI,2025,1,2025-09-08,Monday,20:15,CHI,MIN,24,27,7,7,-1.5,43.5,-108,-112,-108,-112,outdoors,grass,68,6,CHI98,2025-09-08
2025_02_WAS_GB,2025,2,2025-09-11,Thursday,20:15,GB,WAS,27,18,4,4,3.5,48.5,-115,-105,-185,154,outdoors,grass,65,7,GNB00,2025-09-11
2025_02_CLE_BAL,2025,2,2025-09-14,Sunday,13:00,BAL,CLE,41,17,7,7,12.5,46.5,-110,-110,-900,600,outdoors,grass,82,3,BAL00,2025-09-14
2025_02_JAX_CIN,2025,2,2025-09-14,Sunday,13:00,CIN,JAX,31,27,7,7,3.5,49.5,-105,-115,-192,160,outdoors,fieldturf,85,3,CIN00,2025-09-14
2025_02_NYG_DAL,2025,2,2025-09-14,Sunday,13:00,DAL,NYG,40,37,10,7,4.5,44.5,-110,-110,-238,195,closed,matrixturf,NA,NA,DAL00,2025-09-14
2025_02_CHI_DET,2025,2,2025-09-14,Sunday,13:00,DET,CHI,52,21,7,6,6,46.5,-108,-112,-270,220,dome,fieldturf,NA,NA,DET00,2025-09-14
2025_02_NE_MIA,2025,2,2025-09-14,Sunday,13:00,MIA,NE,27,33,7,7,1.5,43.5,-105,-115,-125,105,outdoors,grass,89,4,MIA00,2025-09-14
2025_02_SF_NO,2025,2,2025-09-14,Sunday,13:00,NO,SF,21,26,7,7,-3,40.5,-115,-105,140,-166,dome,sportturf,NA,NA,NOR00,2025-09-14
2025_02_BUF_NYJ,2025,2,2025-09-14,Sunday,13:00,NYJ,BUF,10,30,7,7,-6,47.5,-110,-110,235,-290,outdoors,fieldturf,80,3,NYC01,2025-09-14
2025_02_SEA_PIT,2025,2,2025-09-14,Sunday,13:00,PIT,SEA,17,31,7,7,3.5,40.5,-112,-108,-192,160,outdoors,grass,79,5,PIT00,2025-09-14
2025_02_LA_TEN,2025,2,2025-09-14,Sunday,13:00,TEN,LA,19,33,7,7,-5.5,41.5,-108,-112,205,-250,outdoors,grass,83,3,NAS00,2025-09-14
2025_02_CAR_ARI,2025,2,2025-09-14,Sunday,16:05,ARI,CAR,27,22,7,7,7,45.5,-110,-110,-310,250,closed,grass,NA,NA,PHO00,2025-09-14
2025_02_DEN_IND,2025,2,2025-09-14,Sunday,16:05,IND,DEN,29,28,7,7,-2.5,43.5,-108,-112,110,-130,closed,fieldturf,NA,NA,IND00,2025-09-14
2025_02_PHI_KC,2025,2,2025-09-14,Sunday,16:25,KC,PHI,17,20,9,10,-1.5,46.5,-118,-102,102,-122,outdoors,grass,88,12,KAN00,2025-09-14
2025_02_ATL_MIN,2025,2,2025-09-14,Sunday,20:20,MIN,ATL,6,22,6,7,3.5,44.5,-110,-110,-180,150,dome,sportturf,NA,NA,MIN01,2025-09-14
2025_02_TB_HOU,2025,2,2025-09-15,Monday,19:00,HOU,TB,19,20,8,8,2.5,42.5,-110,-110,-135,114,closed,astroturf,NA,NA,HOU00,2025-09-15
2025_02_LAC_LV,2025,2,2025-09-15,Monday,22:00,LV,LAC,9,20,8,10,-3.5,46.5,-118,-102,164,-198,dome,grass,NA,NA,VEG00,2025-09-15
2025_03_MIA_BUF,2025,3,2025-09-18,Thursday,20:15,BUF,MIA,31,21,4,4,12.5,50.5,-108,-112,-800,550,outdoors,a_turf,68,7,BUF00,2025-09-18
2025_03_ATL_CAR,2025,3,2025-09-21,Sunday,13:00,CAR,ATL,30,0,7,7,-5.5,44.5,-105,-115,185,-225,outdoors,grass,83,5,CAR00,2025-09-21
2025_03_GB_CLE,2025,3,2025-09-21,Sunday,13:00,CLE,GB,13,10,7,10,-8.5,41.5,-105,-115,360,-470,outdoors,grass,79,10,CLE00,2025-09-21
2025_03_HOU_JAX,2025,3,2025-09-21,Sunday,13:00,JAX,HOU,17,10,7,6,1.5,43.5,-105,-115,-125,105,outdoors,grass,85,11,JAX00,2025-09-21
2025_03_CIN_MIN,2025,3,2025-09-21,Sunday,13:00,MIN,CIN,48,10,7,7,3,41.5,-115,-105,-162,136,dome,sportturf,NA,NA,MIN01,2025-09-21
2025_03_PIT_NE,2025,3,2025-09-21,Sunday,13:00,NE,PIT,14,21,7,7,-1.5,44.5,-108,-112,100,-120,outdoors,fieldturf,66,5,BOS00,2025-09-21
2025_03_LA_PHI,2025,3,2025-09-21,Sunday,13:00,PHI,LA,33,26,7,7,3.5,45.5,-112,-108,-198,164,outdoors,grass,73,9,PHI00,2025-09-21
