season,week,game_id,posteam,defteam,player_id,pass_attempt,complete_pass,passing_yards,pass_touchdown,interception,rush_plays,rushing_yards,rush_touchdown,reception,receiving_yards,fumble_lost,rush_inside_10,rush_inside_20,target_inside_10,target_inside_20,total_touches,fantasy_points
2021,1,2021_01_ARI_TEN,0,0,0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,11.0,0.0
2021,1,2021_01_ARI_TEN,ARI,TEN,0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0,0,0,0,55.0,0.0
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0027942,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,25.0,0.0,0,0,1,1,2.0,4.5
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0030155,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0030564,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,83.0,0.0,0,0,1,2,6.0,14.3
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0031558,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0033553,0.0,0.0,0.0,0.0,0.0,16,53.0,0.0,0.0,0.0,0.0,1,4,0,0,16.0,5.300000000000001
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0034681,0.0,0.0,0.0,0.0,0.0,12,63.0,0.0,4.0,43.0,0.0,1,1,0,1,16.0,14.600000000000001
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0034775,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,70.0,0.0,0,0,0,1,5.0,12.0
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0035228,34.0,21.0,413.0,4.0,1.0,5,20.0,1.0,0.0,0.0,0.0,1,1,3,7,39.0,38.519999999999996
2021,1,2021_01_ARI_TEN,ARI,TEN,00-0036936,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,68.0,0.0,0,0,0,1,4.0,10.8
2021,1,2021_01_ARI_TEN,TEN,ARI,0,0.0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,4.0,0,0,0,0,59.0,-8.0
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0027944,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,29.0,0.0,0,0,0,1,3.0,5.9
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0029701,41.0,21.0,349.0,1.0,1.0,2,17.0,1.0,0.0,0.0,2.0,1,1,0,4,43.0,19.66
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0032141,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0032355,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,62.0,0.0,0,0,0,0,4.0,10.2
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0032496,1.0,1.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.24
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0032764,0.0,0.0,0.0,0.0,0.0,17,58.0,0.0,3.0,19.0,0.0,2,2,0,0,20.0,10.700000000000001
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0033455,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,19.0,0.0,0,0,0,0,3.0,4.9
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0033955,0.0,0.0,0.0,0.0,0.0,2,9.0,0.0,3.0,24.0,0.0,0,0,0,0,5.0,6.300000000000001
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0035632,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,6.0,0.0,0,0,0,0,1.0,1.6
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0035676,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,49.0,0.0,0,0,0,1,4.0,8.9
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0036182,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,10.0,0.0,0,0,0,1,1.0,2.0
2021,1,2021_01_ARI_TEN,TEN,ARI,00-0036698,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.2
2021,1,2021_01_BAL_LV,0,0,0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16.0,0.0
2021,1,2021_01_BAL_LV,BAL,LV,0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,4.0,0,0,0,0,51.0,-8.0
2021,1,2021_01_BAL_LV,BAL,LV,00-0030513,0.0,0.0,0.0,0.0,0.0,10,28.0,1.0,0.0,0.0,0.0,1,1,0,0,10.0,8.8
2021,1,2021_01_BAL_LV,BAL,LV,00-0031325,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,96.0,0.0,0,0,0,0,4.0,13.600000000000001
2021,1,2021_01_BAL_LV,BAL,LV,00-0033376,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,15.0,0.0,0,0,0,0,2.0,3.5
2021,1,2021_01_BAL_LV,BAL,LV,00-0034164,0.0,0.0,0.0,0.0,0.0,2,5.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0.5
2021,1,2021_01_BAL_LV,BAL,LV,00-0034753,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,20.0,0.0,0,0,0,0,3.0,5.0
2021,1,2021_01_BAL_LV,BAL,LV,00-0034796,33.0,19.0,343.0,1.0,0.0,12,86.0,0.0,0.0,0.0,2.0,0,0,1,2,45.0,22.32
2021,1,2021_01_BAL_LV,BAL,LV,00-0035249,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0
2021,1,2021_01_BAL_LV,BAL,LV,00-0035662,0.0,0.0,0.0,0.0,0.0,1,5.0,0.0,6.0,69.0,0.0,0,0,1,1,7.0,13.4
2021,1,2021_01_BAL_LV,BAL,LV,00-0036331,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,6.0,0.0,0,0,0,0,1.0,1.6
2021,1,2021_01_BAL_LV,BAL,LV,00-0036457,0.0,0.0,0.0,0.0,0.0,9,65.0,1.0,3.0,29.0,0.0,0,1,0,0,12.0,18.4
2021,1,2021_01_BAL_LV,LV,BAL,0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,0.0,0.0,0,0,0,1,89.0,0.0
2021,1,2021_01_BAL_LV,LV,BAL,00-0030663,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0.0,0.0
2021,1,2021_01_BAL_LV,LV,BAL,00-0031280,59.0,34.0,719.0,2.0,1.0,4,6.0,0.0,0.0,0.0,0.0,1,1,3,9,63.0,35.36000000000001
2021,1,2021_01_BAL_LV,LV,BAL,00-0031610,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,105.0,0.0,0,0,1,3,10.0,20.5
2021,1,2021_01_BAL_LV,LV,BAL,00-0032268,0.0,0.0,0.0,0.0,0.0,1,31.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,3.1
2021,1,2021_01_BAL_LV,LV,BAL,00-0033118,0.0,0.0,0.0,0.0,0.0,6,11.0,0.0,5.0,59.0,0.0,0,0,0,0,11.0,12.0
2021,1,2021_01_BAL_LV,LV,BAL,00-0033891,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,46.0,0.0,0,0,0,0,2.0,6.6000000000000005
2021,1,2021_01_BAL_LV,LV,BAL,00-0034983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,70.0,0.0,0,0,1,2,6.0,13.0
2021,1,2021_01_BAL_LV,LV,BAL,00-0035125,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,22.0,0.0,0,0,0,1,4.0,6.2
2021,1,2021_01_BAL_LV,LV,BAL,00-0035700,0.0,0.0,0.0,0.0,0.0,10,34.0,2.0,1.0,6.0,0.0,1,3,0,0,11.0,17.0
2021,1,2021_01_BAL_LV,LV,BAL,00-0036357,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,46.0,0.0,0,0,0,1,2.0,6.6000000000000005
2021,1,2021_01_BAL_LV,LV,BAL,00-0036365,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,81.0,0.0,0,0,0,0,4.0,12.1
2021,1,2021_01_CHI_LA,0,0,0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7.0,0.0
2021,1,2021_01_CHI_LA,CHI,LA,0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,2.0,0,0,0,0,55.0,-4.0
2021,1,2021_01_CHI_LA,CHI,LA,00-0027696,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,11.0,0.0,0,0,0,1,1.0,2.1
2021,1,2021_01_CHI_LA,CHI,LA,00-0027973,41.0,27.0,258.0,0.0,1.0,2,13.0,0.0,0.0,0.0,1.0,0,1,1,3,43.0,7.620000000000001
2021,1,2021_01_CHI_LA,CHI,LA,00-0030068,0.0,0.0,0.0,0.0,0.0,1,-2.0,0.0,4.0,45.0,0.0,0,0,0,1,5.0,8.3
2021,1,2021_01_CHI_LA,CHI,LA,00-0030874,0.0,0.0,0.0,0.0,0.0,6,12.0,0.0,4.0,28.0,0.0,0,2,0,0,10.0,8.0
2021,1,2021_01_CHI_LA,CHI,LA,00-0031428,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,35.0,0.0,0,0,0,2,6.0,9.5
2021,1,2021_01_CHI_LA,CHI,LA,00-0031868,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,19.0,0.0,0,0,0,0,3.0,4.9
2021,1,2021_01_CHI_LA,CHI,LA,00-0035685,0.0,0.0,0.0,0.0,0.0,16,108.0,1.0,1.0,10.0,0.0,1,2,0,0,17.0,18.8
2021,1,2021_01_CHI_LA,CHI,LA,00-0036290,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,42.0,0.0,0,0,0,0,5.0,9.2
2021,1,2021_01_CHI_LA,CHI,LA,00-0036309,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,26.0,0.0,0,0,1,1,5.0,7.6
2021,1,2021_01_CHI_LA,CHI,LA,00-0036945,2.0,2.0,10.0,0.0,0.0,1,3.0,1.0,0.0,0.0,0.0,1,1,0,2,3.0,6.7
