game_id,season,week,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date
2021_01_DAL_TB,2021,1,2021-09-09,Thursday,20:20,TB,DAL,31,29,7,7,10,52.5,-103,-108,-425,351,outdoors,grass ,82,9,TAM00,2021-09-09
2021_01_PHI_ATL,2021,1,2021-09-12,Sunday,13:00,ATL,PHI,6,32,7,7,3.5,49,-103,-108,-180,161,open,fieldturf,NA,NA,ATL97,2021-09-12
2021_01_PIT_BUF,2021,1,2021-09-12,Sunday,13:00,BUF,PIT,16,23,7,7,6.5,48,103,-114,-267,232,outdoors,a_turf,73,17,BUF00,2021-09-12
2021_01_NYJ_CAR,2021,1,2021-09-12,Sunday,13:00,CAR,NYJ,19,14,7,7,3.5,44.5,-104,-107,-184,164,outdoors,grass ,81,0,CAR00,2021-09-12
2021_01_MIN_CIN,2021,1,2021-09-12,Sunday,13:00,CIN,MIN,27,24,7,7,-3,47,-114,102,122,-135,outdoors,fieldturf,81,15,CIN00,2021-09-12
2021_01_SF_DET,2021,1,2021-09-12,Sunday,13:00,DET,SF,33,41,7,7,-9.5,46,-108,-103,344,-415,dome,fieldturf,NA,NA,DET00,2021-09-12
2021_01_JAX_HOU,2021,1,2021-09-12,Sunday,13:00,HOU,JAX,37,21,7,7,-3.5,45.5,-104,-107,154,-172,closed,astroturf,NA,NA,HOU00,2021-09-12
2021_01_SEA_IND,2021,1,2021-09-12,Sunday,13:00,IND,SEA,16,28,7,7,-3,49,-106,-105,132,-146,closed,fieldturf,NA,NA,IND00,2021-09-12
2021_01_ARI_TEN,2021,1,2021-09-12,Sunday,13:00,TEN,ARI,13,38,7,7,2.5,54,-108,-103,-146,131,outdoors,grass ,82,8,NAS00,2021-09-12
2021_01_LAC_WAS,2021,1,2021-09-12,Sunday,13:00,WAS,LAC,16,20,7,7,2.5,45.5,103,-115,-129,117,outdoors,grass ,81,4,WAS00,2021-09-12
2021_01_CLE_KC,2021,1,2021-09-12,Sunday,16:25,KC,CLE,33,29,7,7,5.5,54.5,-105,-107,-241,211,outdoors,grass ,88,8,KAN00,2021-09-12
2021_01_MIA_NE,2021,1,2021-09-12,Sunday,16:25,NE,MIA,16,17,7,7,3.5,43.5,103,-114,-173,155,outdoors,fieldturf,81,15,BOS00,2021-09-12
2021_01_GB_NO,2021,1,2021-09-12,Sunday,16:25,NO,GB,38,3,7,7,-4,49,-102,-110,162,-181,outdoors,grass ,86,9,JAX00,2021-09-12
2021_01_DEN_NYG,2021,1,2021-09-12,Sunday,16:25,NYG,DEN,13,27,7,7,-3,41.5,-106,-105,125,-139,outdoors,fieldturf,82,19,NYC01,2021-09-12
2021_01_CHI_LA,2021,1,2021-09-12,Sunday,20:20,LA,CHI,34,14,7,7,9.5,46,-104,-107,-387,324,dome,matrixturf,NA,NA,LAX01,2021-09-12
2021_01_BAL_LV,2021,1,2021-09-13,Monday,20:15,LV,BAL,33,27,7,7,-3,50.5,-100,-111,149,-167,dome,grass,NA,NA,VEG00,2021-09-13
2021_02_NYG_WAS,2021,2,2021-09-16,Thursday,20:20,WAS,NYG,30,29,4,4,4,42,100,-112,-198,176,outdoors,grass ,71,0,WAS00,2021-09-16
2021_02_NO_CAR,2021,2,2021-09-19,Sunday,13:00,CAR,NO,26,7,7,7,-3,45,-105,-106,131,-145,outdoors,grass ,83,4,CAR00,2021-09-19
2021_02_CIN_CHI,2021,2,2021-09-19,Sunday,13:00,CHI,CIN,20,17,7,7,2,44.5,-104,-107,-126,114,outdoors,grass ,80,0,CHI98,2021-09-19
2021_02_HOU_CLE,2021,2,2021-09-19,Sunday,13:00,CLE,HOU,31,21,7,7,13.5,48.5,-115,103,-675,521,outdoors,grass ,75,12,CLE00,2021-09-19
2021_02_LA_IND,2021,2,2021-09-19,Sunday,13:00,IND,LA,24,27,7,7,-4,48,103,-115,182,-205,closed,fieldturf,NA,NA,IND00,2021-09-19
