season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2021,1,ARI,67,34,33,0.5074626865671642,0.4925373134328358,0.5384615384615384,NA,8.1875,7.190476190476191
2021,1,ATL,64,38,26,0.59375,0.40625,0.5555555555555556,NA,5.114285714285714,3.1904761904761907
2021,1,BAL,67,33,34,0.4925373134328358,0.5074626865671642,0.5,NA,7.9,5.578947368421052
2021,1,BUF,79,54,25,0.6835443037974683,0.31645569620253167,0.5454545454545454,NA,9.549019607843137,2.933333333333333
2021,1,CAR,63,36,27,0.5714285714285714,0.42857142857142855,0.4166666666666667,NA,7.8,6.125
2021,1,CHI,69,43,26,0.6231884057971014,0.37681159420289856,0.45454545454545453,NA,4.225,3.413793103448276
2021,1,CIN,68,32,36,0.47058823529411764,0.5294117647058824,0.5,NA,8.148148148148149,6.2
2021,1,CLE,57,30,27,0.5263157894736842,0.47368421052631576,0.15384615384615385,NA,10.142857142857142,7.619047619047619
2021,1,DAL,77,59,18,0.7662337662337663,0.23376623376623376,0.75,NA,6.586206896551724,4.714285714285714
2021,1,DEN,66,38,28,0.5757575757575758,0.42424242424242425,0.6666666666666666,NA,8.666666666666666,3.107142857142857
2021,1,DET,86,62,24,0.7209302325581395,0.27906976744186046,0.7,NA,6.157894736842105,5
2021,1,GB,52,37,15,0.7115384615384616,0.28846153846153844,0.8333333333333334,NA,9.4,4.55
2021,1,HOU,75,34,41,0.4533333333333333,0.5466666666666666,0.4666666666666667,NA,9.636363636363637,4.857142857142857
2021,1,IND,72,41,31,0.5694444444444444,0.4305555555555556,0.4,NA,5.473684210526316,5.92
2021,1,JAX,68,52,16,0.7647058823529411,0.23529411764705882,1,NA,8.156862745098039,5.035714285714286
2021,1,KC,62,39,23,0.6290322580645161,0.3709677419354839,0.5714285714285714,NA,9.305555555555555,5.037037037037037
2021,1,LA,50,27,23,0.54,0.46,0.46153846153846156,NA,8.76923076923077,7
2021,1,LAC,78,49,29,0.6282051282051282,0.3717948717948718,0.5,NA,7.74468085106383,4.096774193548387
2021,1,LV,80,59,21,0.7375,0.2625,0.6923076923076923,NA,9.821428571428571,4.970588235294118
2021,1,MIA,52,29,23,0.5576923076923077,0.4423076923076923,0.2,NA,9.296296296296296,6.8125
